Away Team,City,Home Team,Match Date,Match ID,Match Referee,Player Of Match,Season,Team Gender,Toss Decision,Toss Winner,TV Umpire,Umpire,Venue,Winner,Number of Records,Winner Runs
Sri Lanka,Christchurch,New Zealand,03-01-2006,226391,AG Hurst,WU Tharanga,2005/06,male,field,New Zealand,AL Hill,"GAV Baxter,DB Hair",Jade Stadium,New Zealand,1,
Sri Lanka,Wellington,New Zealand,06-01-2006,226392,AG Hurst,JS Patel,2005/06,male,bat,New Zealand,EA Watkin,"DB Hair,AL Hill",Westpac Stadium,New Zealand,1,21
South Africa,Brisbane,Australia,09-01-2006,226374,RG Archer,DR Martyn,2005/06,male,bat,Australia,NS McNamara,"BNJ Oxenford,RL Parry","""Brisbane Cricket Ground",Australia,1,95
South Africa,Brisbane,Australia,15-01-2006,226375,JJ Crowe,SM Pollock,2005/06,male,bat,Australia,DJ Harper,"Aleem Dar,SJA Taufel","""Brisbane Cricket Ground",South Africa,1,
Sri Lanka,Brisbane,South Africa,17-01-2006,226383,JJ Crowe,KC Sangakkara,2005/06,male,field,South Africa,PD Parker,"Aleem Dar,DJ Harper","""Brisbane Cricket Ground",Sri Lanka,1,94
South Africa,Melbourne,Australia,20-01-2006,226376,JJ Crowe,B Lee,2005/06,male,bat,Australia,PD Parker,"MR Benson,DJ Harper",Docklands Stadium,Australia,1,59
Sri Lanka,,Australia,22-01-2006,226380,JJ Crowe,ST Jayasuriya,2005/06,male,bat,Sri Lanka,RL Parry,"MR Benson,SJ Davis",Sydney Cricket Ground,Sri Lanka,1,51
Sri Lanka,,South Africa,24-01-2006,226384,JJ Crowe,HH Dippenaar,2005/06,male,bat,South Africa,SJ Davis,"Aleem Dar,DJ Harper",Adelaide Oval,South Africa,1,9
Sri Lanka,,Australia,26-01-2006,226381,JJ Crowe,A Symonds,2005/06,male,bat,Sri Lanka,RL Parry,"Aleem Dar,SJ Davis",Adelaide Oval,Australia,1,
Sri Lanka,Perth,Australia,29-01-2006,226382,JJ Crowe,AC Gilchrist,2005/06,male,bat,Sri Lanka,RL Parry,"MR Benson,PD Parker",Western Australia Cricket Association Ground,Australia,1,
